ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
363,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Premium Custom Drawer Organizers (Var.872),Easy,41 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize socks."
364,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Dynamic Self-Watering Planter (Var.101),Easy,26 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Thyme.
5. Fill the bottom half with water. The string will pull water up to the soil!"
365,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Handcrafted Pencil Shaving Texture Art (Var.570),Easy,21 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
366,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Modern Herb Garden Planter (Var.164),Easy,19 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with metallic copper acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Spider Plant."
367,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Handcrafted Desktop Terrarium (Var.118),Intermediate,55 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Succulent.
6. Mist lightly with a spray bottle and seal the jar tightly."
368,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Handcrafted No-Sew Produce Bag (Var.360),Intermediate,41 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a stretchy mesh."
369,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Handcrafted Paper Mache Decorative Bowl (Var.959),Intermediate,61 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it forest green."
370,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Dynamic Vertical Succulent Garden (Var.216),Advanced,130 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable lace tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Thyme tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
371,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Modern Pocket Wall Organizer (Var.492),Intermediate,41 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or jewelry."
372,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Minimalist No-Sew Produce Bag (Var.132),Intermediate,40 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a stretchy mesh."
373,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Rustic Herb Garden Planter (Var.647),Easy,23 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with pastel blue acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Basil."
374,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Bespoke Desktop Terrarium (Var.644),Intermediate,60 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of terracotta shards for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Basil.
6. Mist lightly with a spray bottle and seal the jar tightly."
375,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Premium Geometric Cork Board (Var.226),Intermediate,56 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish herringbone pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
376,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Bespoke Biodegradable Seed Starters (Var.381),Easy,10 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Thyme seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
377,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Premium Rustic Tealight Holder (Var.225),Easy,6 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap leather string tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried rose petals to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
378,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Modern Pocket Wall Organizer (Var.539),Intermediate,48 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid wooden spoon through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or office supplies."
379,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Minimalist Pocket Wall Organizer (Var.464),Intermediate,43 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid bamboo skewer through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or socks."
380,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Upcycled Biodegradable Seed Starters (Var.747),Easy,20 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Rosemary seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
381,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Minimalist No-Sew Produce Bag (Var.425),Intermediate,29 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a durable mesh."
382,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Rustic Vertical Succulent Garden (Var.598),Advanced,131 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable lace tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Aloe Vera tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
383,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Eco-friendly Self-Watering Planter (Var.488),Easy,27 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Fern.
5. Fill the bottom half with water. The string will pull water up to the soil!"
384,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Boho Pocket Wall Organizer (Var.791),Intermediate,48 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or office supplies."
385,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Boho Paper Mache Decorative Bowl (Var.950),Intermediate,68 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
386,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Upcycled Pocket Wall Organizer (Var.124),Intermediate,57 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or socks."
387,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Bespoke Exfoliating Body Scrub (Var.588),Easy,5 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted sweet almond oil.
3. Add 1/4 cup of coarse white granulated sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
388,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Upcycled Decorative Pencil Holder (Var.731),Easy,23 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
389,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Boho Rustic Tealight Holder (Var.865),Easy,22 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried eucalyptus leaves to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
390,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Eco-friendly Braided Dog Tug Toy (Var.662),Easy,22 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your teacup dog."
391,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Aesthetic No-Sew Produce Bag (Var.550),Intermediate,26 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a breathable mesh."
392,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Aesthetic Geometric Cork Board (Var.888),Intermediate,47 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish horizontal linear pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
393,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Premium Braided Dog Tug Toy (Var.664),Easy,22 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your giant dog."
394,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Boho Decorative Pencil Holder (Var.388),Easy,24 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of burlap to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
395,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Upcycled Pocket Wall Organizer (Var.366),Intermediate,43 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid sturdy twig through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or socks."
396,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Dynamic Pencil Shaving Texture Art (Var.467),Easy,26 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a mandala pattern.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
397,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Dynamic Vertical Succulent Garden (Var.910),Advanced,123 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable discarded denim tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Rosemary tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
398,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Aesthetic Hanging Bird Feeder (Var.878),Easy,23 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a wooden spoon through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
399,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Minimalist Pencil Shaving Texture Art (Var.133),Easy,22 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a flamenco dancer.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
400,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Premium Vertical Succulent Garden (Var.423),Advanced,121 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Tomato tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
401,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Upcycled Herb Garden Planter (Var.632),Easy,29 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with matte black acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Spider Plant."
402,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Modern Paper Mache Decorative Bowl (Var.738),Intermediate,62 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
403,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Upcycled Herb Garden Planter (Var.879),Easy,30 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with glossy white acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Mint."
404,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Boho Paper Mache Decorative Bowl (Var.561),Intermediate,66 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
405,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Premium Hanging Bird Feeder (Var.513),Easy,22 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a chopstick through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
406,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Handcrafted Geometric Cork Board (Var.635),Intermediate,50 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish concentric squares pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
407,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Eco-friendly No-Sew Produce Bag (Var.133),Intermediate,26 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
408,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Chic Iridescent Mosaic Coasters (Var.751),Intermediate,54 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with metallic gold paint filler and wipe the surface clean. Let it cure."
409,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Eco-friendly Exfoliating Body Scrub (Var.995),Easy,5 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted shea butter.
3. Add 1/4 cup of coarse sea salt for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
410,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Handcrafted Paper Mache Decorative Bowl (Var.166),Intermediate,56 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it crimson red."
411,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Aesthetic Paper Mache Decorative Bowl (Var.293),Intermediate,59 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it glossy white."
412,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Rustic Cat Scratching Pad (Var.987),Intermediate,74 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with catnip spray!"
413,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Upcycled Exfoliating Body Scrub (Var.551),Easy,20 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted shea butter.
3. Add 1/4 cup of coarse white granulated sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
414,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Premium Custom Drawer Organizers (Var.761),Easy,36 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize keys and wallets."
415,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Handcrafted Vertical Succulent Garden (Var.557),Advanced,120 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable geometric patterned paper tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Rosemary tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
416,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Bespoke Exfoliating Body Scrub (Var.443),Easy,14 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted olive oil.
3. Add 1/4 cup of coarse brown sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
417,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Premium Desktop Terrarium (Var.246),Intermediate,55 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of aquarium stones for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Tomato.
6. Mist lightly with a spray bottle and seal the jar tightly."
418,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Upcycled No-Sew Produce Bag (Var.612),Intermediate,44 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a stretchy mesh."
419,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Bespoke Vertical Succulent Garden (Var.332),Advanced,122 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable vintage floral cloth tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Basil tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
